X1, X2, X3, X4, X5, X6, X7, X8, X9, y
0.158,0.141,0.209,0.409,0.53,0.468,0.625,0.264,0.195,0.184
0.219,0.239,0.26,0.455,0.506,0.532,0.625,0.284,0.089,0.207
0.257,0.259,0.202,0.606,0.699,0.571,0.679,0.739,0.3,0.114
0.444,0.458,0.389,0.773,0.747,0.649,0.661,0.031,0.628,0.521
0.175,0.172,0.208,0.576,0.699,0.61,0.714,0.405,0.13,0.154
0.404,0.391,0.206,0.742,0.819,0.753,0.786,0.079,0.604,0.465
0.519,0.528,0.375,0.348,0.41,0.442,0.429,0.051,0.406,0.349
0.153,0.143,0.201,0.545,0.663,0.494,0.616,0.644,0.164,0.104
0.301,0.304,0.227,0.515,0.627,0.519,0.562,0.408,0.41,0.273
0.253,0.266,0.258,0.848,0.94,0.87,0.955,0.056,0.386,0.322
0.297,0.298,0.192,0.667,0.699,0.584,0.643,0.076,0.212,0.207
0.06,0.058,0.272,0.667,0.747,0.584,0.723,0.199,0.082,0.097
